Gregor Kobel
Patrick Drewes
Silas Ostrzinski
Alexander Meyer
Yan Bueno Couto
Waldemar Anton
Nico Schlotterbeck
Ramy Bensebaini
Daniel Svensson
Niklas Süle
Julian Ryerson
Aaron Anselmino
Filippo Mané
Almugera Kabar
Salih Özcan
Jobe Bellingham
Felix Nmecha
Julian Brandt
Pascal Groß
Carney Chukwuemeka
Marcel Sabitzer
Emre Can
Serhou Guirassy
Maximilian Beier
Julien Duranville
Fábio Daniel Soares Silva
Karim Adeyemi
Cole Campbell
