Mark Flekken
Janis Blaswich
Niklas Lomb
Jesper Schlich
Jarell Quansah
Loïc Badé
Edmond Tapsoba
Arthur Augusto de Matos Soares
Axel Tape
Álex Grimaldo
Lucas Vázquez
Ben Hawighorst
Jeanuël Belocian
Ferdinand Pohl
Ezequiél Fernández
Jonas Hofmann
Robert Andrich
Claudio Echeverri
Malik Tillman
Aleix García
Exequiel Palacios
Jeremiah Mensah
Montrell Culbreath
Naba Mensah
Martin Terrier
Patrik Schick
Eliesse Ben Seghir
Alejo Sarco
Ernest Poku
Nathan Tella
Ibrahim Maza
Christian Kofane
Ken Izekor
